0;0;0;
90;21;10;
380;86;20;
870;199;30;
1560;374;40;
2450;602;50;
3540;840;60;
4830;1172;70;
6320;1536;80;
8010;1872;90;
9900;2421;100;
0;0;0;
90;21;10;
380;84;20;
870;208;30;
1560;362;40;
2450;572;50;
3540;850;60;
4830;1170;70;
6320;1554;80;
8010;1902;90;
9900;2389;100;
